[2025-08-17 22:39:26] [INFO    ] discord.client: logging in using static token
[2025-08-17 22:39:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-08-17 22:39:27] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-08-17 22:39:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1406632541590651020', 'username': 'AHMED_BOT', 'avatar': '102c8cb30103959a389d2e478d04959c', 'discriminator': '9200', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-08-17 22:39:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-08-17 22:39:27] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-08-17 22:39:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1406632541590651020', 'name': 'AHMED_BOT', 'icon': '102c8cb30103959a389d2e478d04959c', 'description': '', 'type': None, 'bot': {'id': '1406632541590651020', 'username': 'AHMED_BOT', 'avatar': '102c8cb30103959a389d2e478d04959c', 'discriminator': '9200', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '38f2c2590db861e21c3f18e90afa1d8509ea966018efe3732ff9e5c1db181b7c', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '970399693668487268', 'username': 'akibahmed229', 'avatar': '742812443d342ed4b63023de047a2d98', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 0, 'global_name': 'Akib Ahmed', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000000', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-08-17 22:39:28] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-08-17 22:39:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-nlff",{"micros":0.0}]']}}
[2025-08-17 22:39:28] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-08-17 22:39:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
